country,company_name,stock_code,mapping_status,matched_name,evidence_type,source_1,source_2,source_3,confidence_or_score,notes
USA,MATCH GROUP(NEW),MTCH,mapped_exact_normalized,"Match Group, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,MOSAIC CO (THE),MOS,mapped_exact_normalized,MOSAIC CO,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,QORVO,QRVO,mapped_exact_normalized,"Qorvo, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,TELEFLEX,TFX,mapped_exact_normalized,TELEFLEX INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
TAIWAN,ELITE MATERIAL CO,2383,verified_tw_official_round3,台光電子材料股份有限公司 / EMC,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,LOTES CO,3533,mapped_exact_normalized,LOTES,current_mapping_row,FinLab company_basic_info:英文簡稱,,,1.0,
TAIWAN,NANYA TECHNOLOGY,2408,verified_tw_official_round3,南亞科技股份有限公司 / NTC,current_mapping_row,Round3 official audit: FinLab company_basic_info + TWSE official reference,,,0.99,
TAIWAN,WALSIN LIHWA CORP,1605,verified_tw_reference_fuzzy,WALSIN,current_mapping_row,FinLab company_basic_info:英文簡稱,,,0.94,
USA,AST SPACEMOBILE A,ASTS,mapped_exact_normalized,"AST SpaceMobile, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,CASEYS GENERAL STORES,CASY,mapped_exact_normalized,CASEYS GENERAL STORES INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,COHERENT CORP,COHR,mapped_exact_normalized,COHERENT CORP.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,CURTISS-WRIGHT CORP,CW,mapped_exact_normalized,CURTISS WRIGHT CORP,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,FTAI AVIATION,FTAI,mapped_exact_normalized,FTAI Aviation Ltd.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,IREN,IREN,mapped_exact_normalized,IREN Ltd,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,LUMENTUM HOLDINGS,LITE,mapped_exact_normalized,Lumentum Holdings Inc.,current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,REVOLUTION MEDICINES,RVMD,mapped_exact_normalized,"Revolution Medicines, Inc.",current_mapping_row,SEC company_tickers_exchange,,,1.0,
USA,ALEXANDRIA REAL ESTATE,,needs_review,,current_mapping_row,,,,0.0,
USA,AMERICAN FINANCIAL GROUP,AFG,mapped_exact_normalized,AMERICAN FINANCIAL GROUP INC,current_mapping_row,SEC company_tickers_exchange,,,1.0,
