country,company_name,stock_code,matched_name,mapping_source,mapping_score,mapping_status
TAIWAN,WAYS TECHNICAL,3508,"Ways Technical Corp., Ltd.","Round7 current-code discovery: Yahoo Finance search matched `Ways Technical Corp., Ltd.`/3508.TWO; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: Ways | 位速 | 位速科技股份有限公司",1.0000,verified_tw_current_round7
TAIWAN,CREATIVE SENSOR,7837,Creative,FinLab company_basic_info:英文簡稱,0.9433,verified_tw_reference_fuzzy
TAIWAN,GENESYS LOGIC INC,6104,"Genesys Logic, Inc.","Round7 current-code discovery: Yahoo Finance search matched `Genesys Logic, Inc.`/6104.TWO; code exists in TWSE/TPEx/FinLab Taiwan reference universe. Local refs: GLI | 創惟 | 創惟科技股份有限公司",1.0000,verified_tw_current_round7
TAIWAN,SOLOMON TECH CORP,2359,SOLOMON,FinLab company_basic_info:英文簡稱,0.9483,verified_tw_reference_fuzzy
TAIWAN,WONTEN TECHNOLOGY CO,6190,"Wontex/Wonten Technology Co., Ltd. / 萬泰科技",Round8d web/Yahoo/Google evidence: Company investor page says stock code 6190; Yahoo/Google name variant maps Wonten/Wontex Technology to 萬泰科技.,0.95,verified_tw_yahoo_google_round8d
TAIWAN,RALINK TECHNOLOGY CORP,3534,Ralink Technology Corporation / 雷凌,Round8 Yahoo/Google historical quote: Ralink Technology 3534.TW; acquired by MediaTek,0.99,verified_tw_historical_round8
TAIWAN,SAN SHING FASTECH CORP,5007,SAN SHING,FinLab company_basic_info:英文簡稱,0.9429,verified_tw_reference_fuzzy
USA,ABOVENET,,,,0.0,needs_review
USA,ALPHATEC HOLDINGS,ATEC,"Alphatec Holdings, Inc.",SEC company_tickers_exchange,1.0,mapped_exact_normalized
USA,BIOMIMETIC THERAPEUTICS,,,,0.0,needs_review
USA,BOISE,,,,0.0,needs_review
USA,BRIDGEPOINT EDUCATION,,,,0.0,needs_review
USA,BROADWIND ENERGY,,,,0.0,needs_review
USA,CARDTRONICS,,,,0.0,needs_review
USA,CHINA INFO SECURITY,,,,0.0,needs_review
USA,CYPRESS SHARPRIDGE INV,,,,0.0,needs_review
USA,DIGITALGLOBE,,,,0.0,needs_review
USA,DYAX CORP,,,,0.0,needs_review
